Year,LocationAbbrev,LocationDesc,Population,Topic,Measure,Submeasure,Data Value Unit,Domestic,Imports,Total,Domestic Per Capita,Imports Per Capita,Total Per Capita
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1786230154,111391508,1897621662,7,0,8
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1497868308,95975385,1593843692,6,0,6
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1686336985,117874215,1804211200,7,0,7
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,11488973,687557,12176530,0,0,0
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,8652335,923158,9575493,0,0,0
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,10567681,1084950,11652631,0,0,0
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,11353137,1254008,12607145,0,0,0
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,12686426,720658,13407084,0,0,0
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,15497511,1999997,17497508,0,0,0
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,16315998,1139660,17455658,0,0,0
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,17283788,1658991,18942779,0,0,0
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,20290130,1487888,21778018,0,0,0
2009,US,National,232458335,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,11559366,639730,12199096,0,0,0
2010,US,National,235153929,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,5922424,511908,6434332,0,0,0
2011,US,National,237657645,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,4899513,425592,5325105,0,0,0
2012,US,National,240185952,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,4239394,310335,4549729,0,0,0
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3628280,226264,3854544,0,0,0
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3042545,194950,3237495,0,0,0
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3425372,239432,3664804,0,0,0
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,8291276800,702741662,8994018462,40,3,43
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,6680955569,947800123,7628755692,31,4,36
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,7480561231,1013188923,8493750154,35,5,40
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,7634876062,961030892,8595906954,35,4,40
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,8167993108,745917538,8913910646,37,3,41
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,9545006277,1491801600,11036807877,43,7,50
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,9645744246,1269702400,10915446646,43,6,49
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,10054698338,1733564554,11788262892,44,8,52
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,11552934400,1754053908,13306988308,50,8,58
2009,US,National,232458335,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,10970686523,1290726400,12261412923,47,6,53
2010,US,National,235153929,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,13877491692,1641528615,15519020308,59,7,66
2011,US,National,237657645,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,18579556923,1501368123,20080925046,78,6,84
2012,US,National,240185952,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,20027456000,1394965662,21422421662,83,6,89
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,20994914462,1701749662,22696664123,87,7,94
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,20029857969,1790205538,21820063508,82,7,89
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,19502885415,2168583385,21671468800,79,9,87
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,16841656,1427444,18269100,0,0,0
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,13570691,1925219,15495910,0,0,0
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,15194890,2058040,17252930,0,0,0
2005,US,National,222003984,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,80241576,11018,80252594,0,0,0
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,15508342,1952094,17460436,0,0,0
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,16591236,1515145,18106381,0,0,0
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,19388294,3030222,22418516,0,0,0
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,19592918,2579083,22172001,0,0,0
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,20423606,3521303,23944909,0,0,0
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,23466898,3562922,27029820,0,0,0
2009,US,National,232458335,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,22284207,2621788,24905995,0,0,0
2010,US,National,235153929,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,28188655,3334355,31523010,0,0,0
2011,US,National,237657645,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,37739725,3049654,40789379,0,0,0
2012,US,National,240185952,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,40680770,2833524,43514294,0,0,0
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,42645920,3456679,46102599,0,0,0
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,40685649,3636355,44322004,0,0,0
2015,US,National,247773709,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,39615236,4404935,44020171,0,0,0
2000,US,National,209786736,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,45502156,91965,45594121,0,0,0
2001,US,National,212345162,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,49397524,102162,49499686,0,0,0
2002,US,National,214754648,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,47095214,215769,47310983,0,0,0
2003,US,National,217068101,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,45906067,174399,46080466,0,0,0
2004,US,National,219552929,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,42940196,208894,43149090,0,0,0
2005,US,National,222003984,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,38883276,315916,39199192,0,0,0
2006,US,National,224583123,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,38862076,235747,39097823,0,0,0
2007,US,National,227239768,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,35086655,217384,35304039,0,0,0
2008,US,National,229945137,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,33123840,322100,33445940,0,0,0
2009,US,National,232458335,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,30228068,197018,30425086,0,0,0
2010,US,National,235153929,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,27422318,192666,27614984,0,0,0
2011,US,National,237657645,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,24636069,164463,24800532,0,0,0
2012,US,National,240185952,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,23800851,345143,24145994,0,0,0
2013,US,National,242542967,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,21944042,489659,22433701,0,0,0
2014,US,National,245273438,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,21335199,630212,21965411,0,0,0
2015,US,National,247773709,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,19352433,858688,20211121,0,0,0
2000,US,National,209786736,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,66134630,17729,66152359,0,0,0
2001,US,National,212345162,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,69804806,11675,69816481,0,0,0
2002,US,National,214754648,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,71242932,9827,71252759,0,0,0
2003,US,National,217068101,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,74700715,8369,74709084,0,0,0
2004,US,National,219552929,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,77983437,16833,78000270,0,0,0
2006,US,National,224583123,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,86576507,63497,86640004,0,0,0
2007,US,National,227239768,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,88266593,101194,88367787,0,0,0
2008,US,National,229945137,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,94596853,221808,94818661,0,0,0
2009,US,National,232458335,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,94762149,291606,95053755,0,0,0
2010,US,National,235153929,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,99572886,339291,99912177,0,0,0
